num_of_entries,num_of_people,weekday,hour,sum_HR_value,average_HR_per_person_per_log,METs_sum,average_METs_per_person_per_log
148080,13,Monday,9,13317480,6.92,3706067,1.93
145200,13,Monday,10,12866520,6.82,3363119,1.78
133620,13,Monday,11,11323980,6.52,2405707,1.38
177900,14,Monday,18,16683120,6.7,4093090,1.64
195960,14,Monday,16,19286700,7.03,4807178,1.75
170460,13,Monday,17,16643700,7.51,3953809,1.78
174120,13,Monday,19,16247640,7.18,3801964,1.68
59160,9,Sunday,5,4033440,7.58,602917,1.13
90300,12,Sunday,6,6877740,6.35,1138222,1.05
138300,14,Monday,20,12003720,6.2,2252197,1.16
86280,13,Monday,22,6747360,6.02,1021094,0.91
191940,13,Wednesday,11,17337960,6.95,3451672,1.38
200820,13,Wednesday,12,18343140,7.03,4044679,1.55
224460,13,Wednesday,16,21423960,7.34,4383563,1.5
213300,13,Wednesday,17,19767000,7.13,6212948,2.24
190620,13,Thursday,16,18308040,7.39,5062279,2.04
192900,12,Thursday,17,18643200,8.05,4485407,1.94
166800,12,Friday,11,14611200,7.3,3188914,1.59
146400,13,Friday,13,12455400,6.54,2414731,1.27
173520,13,Friday,14,16217640,7.19,3823168,1.69
165840,12,Friday,15,14404800,7.24,2887257,1.45
179520,13,Friday,16,16311360,6.99,3787356,1.62
159120,12,Friday,17,13904040,7.28,3032327,1.59
191880,13,Friday,19,18530880,7.43,4395072,1.76
164760,12,Saturday,12,15288240,7.73,4634165,2.34
161820,13,Saturday,19,14641320,6.96,3217585,1.53
145920,13,Sunday,11,12408600,6.54,3048406,1.61
153360,13,Sunday,12,13227000,6.63,2959859,1.48
147600,12,Sunday,14,12830880,7.24,2710003,1.53
144120,13,Sunday,16,12310680,6.57,2544321,1.36
157560,13,Sunday,17,14451240,7.06,3792533,1.85
134700,12,Sunday,20,11818020,7.31,2377109,1.47
133680,11,Monday,7,11332860,7.71,2634180,1.79
119820,12,Monday,8,9888600,6.88,2403024,1.67
260100,12,Tuesday,16,25437660,8.15,6133841,1.97
207240,13,Tuesday,17,18299880,6.79,4301743,1.6
206100,12,Tuesday,20,18586620,7.52,3647213,1.47
148620,11,Tuesday,22,12290460,7.52,2141737,1.31
190620,13,Wednesday,15,17023080,6.87,3187563,1.29
212100,13,Wednesday,18,20159340,7.31,5856031,2.12
90540,10,Thursday,0,6941640,7.67,1027122,1.13
179820,12,Thursday,7,15397440,7.14,3179173,1.47
191700,12,Thursday,8,16837020,7.32,3647934,1.59
176340,13,Thursday,9,15155700,6.61,3280836,1.43
213780,13,Thursday,10,20004540,7.2,4733638,1.7
196620,13,Thursday,11,17743680,6.94,4157831,1.63
198900,13,Thursday,12,18619860,7.2,4409836,1.71
184500,13,Thursday,13,17221620,7.18,2971792,1.24
184560,13,Thursday,14,17061600,7.11,4137690,1.72
162300,12,Thursday,15,14412000,7.4,3412329,1.75
161040,13,Thursday,18,14092440,6.73,3217321,1.54
150240,12,Thursday,19,13044240,7.24,3031489,1.68
72420,10,Friday,1,5318580,7.34,770568,1.06
192960,13,Friday,18,17741520,7.07,4808129,1.92
100560,11,Saturday,0,8356440,7.55,1198994,1.08
165720,13,Saturday,9,14976780,6.95,3865116,1.79
149220,13,Saturday,10,13115460,6.76,3266943,1.68
147780,12,Saturday,11,13111680,7.39,3408949,1.92
160980,12,Saturday,14,15442080,7.99,4363018,2.26
141720,12,Saturday,15,12815280,7.54,2963888,1.74
137940,13,Saturday,16,11752020,6.55,2589096,1.44
146100,12,Saturday,17,12904860,7.36,2797895,1.6
132720,13,Saturday,21,11258520,6.53,1875280,1.09
158820,13,Sunday,8,13695660,6.63,2693058,1.3
152400,12,Sunday,15,13329180,7.29,2973114,1.63
151320,12,Sunday,19,13950120,7.68,3065864,1.69
111540,11,Sunday,21,9341700,7.61,1653980,1.35
141780,12,Monday,13,12534900,7.37,2451742,1.44
216660,12,Tuesday,15,19549500,7.52,3862971,1.49
200700,13,Tuesday,18,18353700,7.03,3993672,1.53
155760,12,Tuesday,21,12709980,6.8,2338758,1.25
136020,11,Tuesday,23,10780680,7.21,1600200,1.07
222000,13,Wednesday,9,20536440,7.12,4772275,1.65
195720,13,Wednesday,19,17608860,6.92,3931033,1.54
149820,13,Thursday,20,13203480,6.78,2378198,1.22
139860,13,Thursday,21,12325800,6.78,2234214,1.23
163920,12,Friday,10,14438640,7.34,2952346,1.5
163800,13,Friday,12,14662920,6.89,3176031,1.49
157800,13,Friday,20,14150400,6.9,3021984,1.47
115800,11,Friday,23,9661800,7.59,1459338,1.15
93780,11,Saturday,6,7422240,7.2,1217248,1.18
165720,12,Saturday,13,15640200,7.86,5154701,2.59
164700,13,Saturday,18,14892900,6.96,3594977,1.68
117840,13,Saturday,22,9606780,6.27,1595880,1.04
165180,13,Sunday,18,14878560,6.93,3598902,1.68
92460,10,Tuesday,1,6860880,7.42,1080782,1.17
199380,13,Tuesday,9,17219820,6.64,3511679,1.35
248580,13,Tuesday,11,24258120,7.51,5206758,1.61
82800,11,Thursday,23,6418860,7.05,932512,1.02
141840,13,Friday,21,12357960,6.7,2063943,1.12
151680,13,Saturday,8,13381680,6.79,2868837,1.45
144780,13,Saturday,20,12432780,6.61,2521592,1.34
87600,11,Sunday,1,6639720,6.89,1076409,1.12
73800,10,Sunday,2,5375880,7.28,857624,1.16
178140,13,Sunday,13,17575740,7.59,3958961,1.71
148620,12,Monday,12,13813200,7.75,3211468,1.8
131160,13,Monday,14,11094780,6.51,2339202,1.37
168360,12,Tuesday,14,14684220,7.27,3265389,1.62
192780,13,Tuesday,19,17230680,6.88,3582964,1.43
104460,9,Wednesday,0,7702980,8.19,1196721,1.27
94200,9,Wednesday,1,7085340,8.36,1018031,1.2
189120,13,Wednesday,8,16198020,6.59,3819623,1.55
177060,13,Wednesday,14,15365580,6.68,3294540,1.43
71760,10,Friday,0,5431260,7.57,804229,1.12
85920,10,Tuesday,0,6309240,7.34,957125,1.11
95340,11,Sunday,0,7616160,7.26,1128860,1.08
180060,13,Tuesday,13,15403080,6.58,2962734,1.27
124200,11,Friday,22,11362560,8.32,1823288,1.33
183000,13,Wednesday,13,15796860,6.64,2783903,1.17
96900,12,Thursday,22,7798140,6.71,1263993,1.09
92760,11,Saturday,23,7331340,7.19,1238084,1.21
161580,13,Sunday,10,14290440,6.8,3720432,1.77
79560,9,Saturday,1,6413160,8.96,1011331,1.41
143400,13,Monday,15,12375300,6.64,2283856,1.23
45480,8,Monday,1,3094200,8.5,469096,1.29
65160,9,Monday,23,4730880,8.07,703604,1.2
227700,13,Tuesday,10,21491880,7.26,5920376,2.0
131100,11,Wednesday,22,10770780,7.47,1671134,1.16
95220,12,Monday,21,7427820,6.5,1305190,1.14
78240,10,Thursday,1,5549880,7.09,809987,1.04
81540,10,Thursday,2,5702880,6.99,850343,1.04
53160,8,Monday,0,3944760,9.28,578966,1.36
222660,13,Tuesday,12,20515740,7.09,5410036,1.87
53400,9,Sunday,23,3811200,7.93,560440,1.17
140700,12,Wednesday,21,11849580,7.02,2024340,1.2
96360,10,Wednesday,23,7462080,7.74,1139215,1.18
68880,9,Saturday,2,5358720,8.64,865491,1.4
68640,9,Sunday,22,5089200,8.24,788343,1.28
193320,13,Wednesday,20,17301000,6.88,3330022,1.33
203160,13,Tuesday,8,17617980,6.67,3786645,1.43
188220,13,Tuesday,7,17051460,6.97,3788931,1.55
133920,13,Saturday,7,10821840,6.22,1899812,1.09
205320,13,Wednesday,10,18235620,6.83,3506552,1.31
103680,11,Wednesday,5,7901580,6.93,1369749,1.2
78540,9,Tuesday,2,5684760,8.04,884296,1.25
153300,13,Sunday,9,13471680,6.76,3213577,1.61
172920,13,Friday,9,15662640,6.97,3944429,1.75
154440,12,Tuesday,6,13175580,7.11,3125861,1.69
46680,8,Monday,2,3254640,8.72,480958,1.29
186960,13,Wednesday,7,15862620,6.53,3098440,1.27
121920,11,Thursday,6,10272900,7.66,2633354,1.96
58080,10,Sunday,3,3908160,6.73,596392,1.03
167520,13,Friday,8,14322240,6.58,3163717,1.45
62040,9,Saturday,3,4517160,8.09,649450,1.16
61200,9,Sunday,4,4102440,7.45,624525,1.13
135480,12,Friday,6,12042960,7.41,3369285,2.07
158640,12,Friday,7,13919880,7.31,3319757,1.74
114960,10,Monday,6,9572700,8.33,2134825,1.86
150600,12,Wednesday,6,12512640,6.92,2795039,1.55
119400,12,Sunday,7,10051080,7.01,1858801,1.3
107040,10,Tuesday,5,8620680,8.05,1831051,1.71
44400,7,Saturday,5,2843280,9.15,450130,1.45
50880,7,Monday,5,3580800,10.05,647227,1.82
43680,7,Monday,3,3008400,9.84,459411,1.5
89760,9,Wednesday,4,6507780,8.06,960275,1.19
63000,9,Friday,4,4341360,7.66,675826,1.19
63660,9,Friday,3,4323600,7.55,664915,1.16
84840,8,Tuesday,4,5965380,8.79,943278,1.39
90960,9,Thursday,5,7032300,8.59,1299256,1.59
88740,10,Friday,5,7327500,8.26,1422047,1.6
44880,8,Saturday,4,2949840,8.22,457165,1.27
89340,9,Wednesday,2,6351300,7.9,944578,1.17
68640,9,Wednesday,3,4569300,7.4,698639,1.13
70500,9,Thursday,4,4640940,7.31,714551,1.13
55860,9,Friday,2,3926760,7.81,576729,1.15
47280,7,Monday,4,3317520,10.02,517671,1.56
66240,8,Tuesday,3,4376700,8.26,681296,1.29
68880,9,Thursday,3,4667280,7.53,700874,1.13