Id,days_logged,total_time,total_time_h,total_time_days,prcent_VeryActiveMinutes,prcent_FairlyActiveMinutes,prcent_LightlyActiveMinutes,prcent_SedentaryMinutes,LightActiveDistance_precent
1624580081,29,24480,408.0,17.0,0.16339869281045752,0.26552287581699346,10.138888888888889,89.43218954248367,0.056205066706251743
1844505072,30,41028,683.8,28.491666666666664,0.0097494394072340836,0.09749439407234084,8.7233109096226968,91.169445256897731,0.063851866036931521
1927972279,30,42101,701.68333333333328,29.236805555555552,0.097384860217096983,0.057005771834398228,2.8407876297475121,97.004821738201,0.0553521120684668
4057192912,3,5290,88.166666666666671,3.6736111111111112,0.056710775047258973,0.11342155009451795,7.7882797731569005,92.041587901701334,0.0700234497133924
4319703577,30,30395,506.58333333333331,21.107638888888889,0.36519164336239512,1.25678565553545,23.332784997532489,75.045237703569668,0.051847479203917364
4388161847,30,34396,573.26666666666665,23.886111111111109,2.0874520293057333,1.8345156413536456,20.671008256774044,75.407024072566571,0.049899771038632038
4445114986,30,32468,541.13333333333333,22.547222222222221,0.63139090797092523,0.16631760502648762,19.964272514475791,79.238018972526788,0.05514045719000675
4558609924,30,43483,724.7166666666667,30.196527777777778,0.74051928339810957,0.97739346411241168,20.315985557574223,77.966101694915253,0.050067369460507161
4702921684,30,32087,534.7833333333333,22.282638888888886,0.4955277838376913,2.5150372424969611,22.943871349767818,74.045563623897522,0.0609594562830716
6290855005,28,20160,336.0,14.0,0.31746031746031744,0.059523809523809527,10.892857142857142,88.73015873015872,0.0721188259705016
8792009665,28,33561,559.35,23.306250000000002,0.083430171925747143,0.34861893268972916,7.9318256309406756,91.636125264443848,0.059526023756442552
8253242879,18,25903,431.71666666666664,17.988194444444442,1.4863143265258849,0.98058139983785653,7.7404161680114267,89.792688105624833,0.025905137467830752
7086361926,30,32929,548.81666666666672,22.867361111111112,4.00862461659935,2.3869537489750678,13.541255428345837,80.063166206079757,0.030076585329217007
8877689391,30,34051,567.51666666666665,23.646527777777777,4.42277759830842,0.751813456286159,16.143431910957094,78.681977034448323,0.037137527546583275
2026352035,30,29339,488.98333333333335,20.374305555555555,0.010225297385732302,0.027267459695286135,27.117488666962064,72.845018575956928,0.061724603645499254
7007744171,25,34528,575.4666666666667,23.977777777777778,2.19821594068582,1.1353104726598702,20.316844300278035,76.34962928637627,0.043402373960648305
8053475328,30,43205,720.08333333333337,30.003472222222225,6.1104038884388379,0.68742043744936931,10.832079620414303,82.37009605369748,0.017163321314570233
2320127002,30,44089,734.81666666666672,30.617361111111112,0.095261856698949862,0.18145115561704733,13.935448751389234,85.78783823629476,0.063184314074025555
1503960366,30,34905,581.75,24.239583333333332,3.4379028792436617,1.7017619252256124,19.533018192236067,75.327317003294652,0.034274091695674046
2347167796,17,17527,292.11666666666667,12.171527777777778,1.3864323614994007,2.111028698579335,25.931420094711015,70.57111884521025,0.044346791293306362
5553957443,30,28240,470.66666666666669,19.611111111111111,2.5708215297450425,1.4270538243626063,22.634560906515581,73.367563739376777,0.040690662186754524
2022484408,30,44196,736.6,30.691666666666666,2.5454792288894921,1.3575889220743957,18.058195311792922,78.0387365372432,0.043467899739054058
6962181067,30,27446,457.43333333333334,19.059722222222224,2.2553377541353932,1.8800553814763536,25.956423522553379,69.908183341834871,0.041670705450778736
4020332650,30,36739,612.31666666666672,25.513194444444448,0.334794088026348,0.33751599118103376,4.4421459484471546,94.885543972345459,0.059802921492889481
8378563200,30,29176,486.26666666666665,20.261111111111109,6.2345763641349059,1.0899369344666849,16.585549766931727,76.089936934466678,0.044614410953012093
5577150313,29,30586,509.76666666666665,21.240277777777777,8.5660105930818027,2.9261753743542798,14.509906493166808,73.997907539397119,0.029237395156703753
3977333714,29,28874,481.23333333333335,20.051388888888891,1.9637043707141373,6.3655884186465324,18.158204613146776,73.512502597492556,0.028533973523160575
2873212765,30,25468,424.46666666666664,17.68611111111111,1.1229778545625884,0.48295900738181241,19.392963719177008,79.0010994188786,0.0525374576984322
1644430081,26,27416,456.93333333333334,19.038888888888888,0.6747884447038226,2.1192004668806534,14.053837175372044,83.152173913043484,0.04841430837177968
8583815059,30,44559,742.65,30.943749999999998,0.67326466033797894,1.5440202877084315,9.6209519962297172,88.161763055723867,0.0363605401414612
6775888955,25,35500,591.66666666666663,24.652777777777775,0.80563380281690133,1.0845070422535212,2.9408450704225353,95.16901408450704,0.028239101401111352
6117666160,27,30471,507.85,21.160416666666666,0.1443995930556923,0.1870631091857832,26.497325325719533,73.171211972038989,0.068730107432001253
3372868164,13,6774,112.9,4.7041666666666666,0.59049306170652494,0.1328609388839681,23.900206672571596,75.376439326837911,0.058621168550834261