Id,days_logged,sum_totalsteps,sum_totalcalories
1624580081,30,178061,45984
1644430081,29,218489,84339
2022484408,30,352490,77809
2347167796,17,171354,36782
3977333714,29,329537,45410
4319703577,30,225334,63168
4388161847,30,335232,95910
4702921684,30,265734,91932
5577150313,29,249133,100789
6775888955,25,65512,55426
6962181067,30,303639,61443
7007744171,25,294409,66144
7086361926,30,290525,79557
8253242879,18,123161,33972
8583815059,30,223154,84693
8792009665,28,53758,56907
1844505072,30,79982,48778
1927972279,30,28400,67357
2026352035,30,172573,47760
2320127002,30,146223,53449
2873212765,30,234229,59426
3372868164,19,137233,38662
4020332650,30,70284,73960
4057192912,3,15352,7895
4445114986,30,148693,67772
4558609924,30,238239,63031
5553957443,30,266990,58146
6117666160,27,197308,63312
6290855005,28,163837,75389
8053475328,30,457662,91320
8378563200,30,270249,106534
8877689391,30,497241,106028
1503960366,30,375619,56309