Id,days_logged,SUM_total_steps,SUM_total_distance,SUM_tracker_distance,sum_tracker_difference,accuracy,total_distance_summed,prcent_VeryActivedistance,prcent_ModeratelyActiveDistance,prcent_LightlyActiveDistance
1644430081,26,164187,119.36000061035162,119.36000061035162,0.0,accurate measure,119.29000045731664,0.11761254011361408,0.21602816588322796,0.66635929400315808
2022484408,30,352490,250.60999822616571,250.60999822616571,0.0,accurate measure,250.60999928414816,0.29954909864424306,0.089062687685691866,0.611388213670065
2347167796,17,171354,114.39999964647002,114.39999964647002,0.0,accurate measure,114.41000039316715,0.16668123179681382,0.16912857074147475,0.66419019746171137
3977333714,29,329537,225.50999832153329,225.50999832153329,0.0,accurate measure,225.00999917834997,0.21532376183685073,0.36678369706551328,0.41789254109763591
4319703577,30,225334,151.65999945811927,151.65999945811927,0.0,accurate measure,141.01999880187213,0.061126081960042808,0.11040987193329846,0.82846404610665869
4388161847,30,335232,260.19000267982477,260.19000267982477,0.0,accurate measure,248.54000013694167,0.21445240140306476,0.11249698156926062,0.67305061702767466
4702921684,30,265734,215.60999977588659,215.60999977588659,0.0,accurate measure,215.38000154495239,0.06007985841208701,0.1878075944745346,0.75211254711337838
5577150313,29,249133,186.39999914169312,186.39999914169312,0.0,accurate measure,185.98999948799613,0.50223130235895774,0.10613473949130918,0.39163395814973312
6775888955,25,65512,47.149999419227257,47.149999419227257,0.0,accurate measure,46.930000053718672,0.39292563207284092,0.212870232220363,0.39420413570679608
6962181067,30,278565,185.18000030517584,185.14000034332281,0.039999961853027344,not accurate measure,185.16000078618526,0.2327716570514913,0.14031108141206072,0.62691726153644789
7007744171,25,279593,197.41999983787537,187.05999970436088,10.36000013351449,not accurate measure,197.42999902367595,0.29884009519192395,0.086511674914486941,0.61464822989358892
7086361926,30,290525,198.02999974228442,198.02999974228442,0.0,accurate measure,197.56999956257644,0.43640228920943219,0.12132408766373366,0.4422736231268341
8253242879,18,116695,84.410000920295715,84.410000920295715,0.0,accurate measure,84.369999527931185,0.49472560777320768,0.14697167399485417,0.35830271823193821
8583815059,30,223154,174.07999849319464,174.07999849319464,0.0,accurate measure,137.51999978721142,0.17990110775443788,0.23007562382768465,0.59002326841787756
8792009665,28,53758,34.409999787807479,34.409999787807479,0.0,accurate measure,34.409999877214432,0.020924150321213631,0.049113630406065423,0.92996221927272082
1624580081,29,73303,47.939999818801873,47.939999818801873,0.0,accurate measure,47.890000060200684,0.065149300497939711,0.074545834271474029,0.86030486523058636
1844505072,30,79982,52.890000142157106,52.890000142157106,0.0,accurate measure,52.849999442696593,0.0049195837399344895,0.0287606427086584,0.96631977355140708
1927972279,30,28400,19.669999815523632,19.669999815523632,0.0,accurate measure,19.659999815747163,0.15106815891611933,0.049338759966288365,0.79959308111759231
2026352035,30,172573,107.10000017285348,107.10000017285348,0.0,accurate measure,107.06000024080278,0.0017747057462026892,0.0032691947809854738,0.99495609947281183
2320127002,30,146223,98.81999903917314,98.81999903917314,0.0,accurate measure,98.729999523609891,0.033525777369888425,0.030689759809683664,0.93578446282042793
2873212765,30,128613,86.789999008178711,86.789999008178711,0.0,accurate measure,86.780000578612089,0.15291541894861224,0.068448950501069555,0.77863563055031815
3372868164,13,28778,19.6600000858307,19.6600000858307,0.0,accurate measure,19.629999905824651,0.12633724049777553,0.014263881942710074,0.85939887755951438
4020332650,30,44145,31.649999739602208,31.649999739602208,0.0,accurate measure,30.529999673366532,0.058630855738857214,0.076645922004883155,0.86472322225625964
4057192912,3,15352,11.450000047683719,11.450000047683719,0.0,accurate measure,11.219999983906746,0.01871657698259355,0.023172904709107347,0.95811051830829908
4445114986,30,148693,100.6199996471405,100.6199996471405,0.0,accurate measure,100.55000012926757,0.16131278090021309,0.023272003742949542,0.81541521535683736
4558609924,30,238239,157.50000047683719,157.50000047683719,0.0,accurate measure,157.46000038832426,0.10815445171245813,0.13431982724821739,0.75752572103932447
5553957443,30,266990,174.83000093698496,174.83000093698496,0.0,accurate measure,174.76999914646146,0.25971276670579657,0.11867025381837842,0.62161697947582517
6117666160,27,197308,149.58000159263608,149.58000159263608,0.0,accurate measure,141.55000036954883,0.025362062623817978,0.01660190757828783,0.95803602979789415
6290855005,28,55880,42.259999990463257,42.259999990463257,0.0,accurate measure,42.229999959468849,0.026995026918991936,0.018707080800755185,0.954297892280253
8053475328,30,457662,355.72999715805037,355.72999715805037,0.0,accurate measure,355.65000049397361,0.74219035744467565,0.03694643579140508,0.22086320676391916
8378563200,30,270249,214.32000231742848,214.32000231742848,0.0,accurate measure,214.26999981701374,0.36220656427693454,0.075092173020063407,0.562701262703002
8877689391,30,389202,324.5099985599519,324.5099985599519,0.0,accurate measure,323.44000020064408,0.52581622600997147,0.027300272035451038,0.44688350195457743
1503960366,30,375619,242.09999895095828,242.09999895095828,0.0,accurate measure,241.97000072896481,0.36620242271435965,0.10174814926345339,0.532049428022187