num_of_entries,num_of_people,weekday,hour,average_METs
7560,33,Friday,0,10.90648148148148
7560,33,Friday,1,10.480423280423279
7560,33,Friday,2,10.346693121693127
7560,33,Friday,3,10.261507936507968
7560,33,Friday,4,10.271164021164065
7560,33,Friday,5,12.067328042328077
7500,33,Friday,6,14.116933333333296
7500,33,Friday,7,15.662800000000004
7500,33,Friday,8,15.820666666666684
7500,33,Friday,9,16.13293333333343
7500,33,Friday,10,15.279200000000008
7500,33,Friday,11,16.321466666666705
7500,33,Friday,12,16.559066666666702
7500,33,Friday,13,16.617466666666527
7500,33,Friday,14,17.391866666666608
7500,33,Friday,15,15.554266666666694
7440,32,Friday,16,17.001209677419343
7440,32,Friday,17,17.150268817204303
7440,32,Friday,18,19.035215053763398
7440,32,Friday,19,19.422043010752628
7440,32,Friday,20,16.498252688172002
7440,32,Friday,21,14.397983870967744
7440,32,Friday,22,13.910483870967704
7380,32,Friday,23,12.610162601626016
7200,32,Monday,0,10.615277777777797
7200,32,Monday,1,10.352361111111071
7200,32,Monday,2,10.156805555555573
7200,32,Monday,3,10.15708333333334
7200,32,Monday,4,10.31375
7200,32,Monday,5,12.775694444444456
7200,32,Monday,6,13.153194444444459
7200,32,Monday,7,14.926388888888869
7200,32,Monday,8,16.051250000000007
7200,32,Monday,9,16.832361111111197
7200,32,Monday,10,17.75875
7200,32,Monday,11,15.45166666666668
7140,32,Monday,12,17.178571428571409
7140,32,Monday,13,16.714425770308143
7140,32,Monday,14,15.944537815126035
7140,32,Monday,15,15.120168067226928
7140,32,Monday,16,17.708263305322234
7080,32,Monday,17,18.577118644067816
7080,32,Monday,18,19.541949152542372
7080,32,Monday,19,18.773305084745811
7080,32,Monday,20,15.407344632768345
7080,32,Monday,21,14.737853107344604
7080,32,Monday,22,12.629519774011326
7080,32,Monday,23,11.249858757062125
7380,32,Saturday,0,11.136314363143669
7320,32,Saturday,1,10.85724043715846
7320,32,Saturday,2,10.716393442622955
7320,32,Saturday,3,10.253961748633909
7320,32,Saturday,4,10.211475409836041
7320,32,Saturday,5,10.219945355191252
7320,32,Saturday,6,11.024590163934443
7320,32,Saturday,7,13.063934426229455
7320,32,Saturday,8,15.420491803278708
7320,32,Saturday,9,17.363114754098412
7260,32,Saturday,10,17.625619834710683
7260,32,Saturday,11,18.874104683195657
7260,32,Saturday,12,19.487878787878785
7260,32,Saturday,13,21.651515151515131
7260,32,Saturday,14,19.727548209366368
7260,32,Saturday,15,17.476997245179032
7260,32,Saturday,16,16.71019283746551
7260,32,Saturday,17,16.838154269972467
7260,32,Saturday,18,17.478925619834744
7260,32,Saturday,19,18.238567493112921
7260,32,Saturday,20,15.587878787878788
7260,32,Saturday,21,14.788154269972452
7260,32,Saturday,22,14.1977961432507
7260,32,Saturday,23,12.129752066115662
7260,32,Sunday,0,11.390495867768596
7260,32,Sunday,1,10.95330578512395
7260,32,Sunday,2,10.735674931129514
7260,32,Sunday,3,10.145730027548208
7260,32,Sunday,4,10.167630853994487
7260,32,Sunday,5,10.245316804407748
7260,32,Sunday,6,11.020936639118474
7260,32,Sunday,7,12.580165289256206
7260,32,Sunday,8,14.712947658402173
7260,32,Sunday,9,15.96556473829202
7260,32,Sunday,10,17.575482093663883
7260,32,Sunday,11,16.380853994490376
7260,32,Sunday,12,16.67011019283747
7260,32,Sunday,13,17.343663911845809
7260,32,Sunday,14,17.665289256198392
7260,32,Sunday,15,16.982506887052384
7200,32,Sunday,16,15.722083333333352
7200,32,Sunday,17,17.938472222222327
7200,32,Sunday,18,17.48763888888886
7200,32,Sunday,19,17.077222222222186
7200,32,Sunday,20,14.406666666666627
7200,32,Sunday,21,14.339166666666667
7200,32,Sunday,22,12.325138888888876
7200,32,Sunday,23,11.439027777777831
8700,33,Thursday,0,10.691724137931089
8700,33,Thursday,1,10.380919540229881
8700,33,Thursday,2,10.250804597701112
8700,33,Thursday,3,10.124712643678167
8640,33,Thursday,4,10.170023148148152
8640,33,Thursday,5,12.227314814814825
8640,33,Thursday,6,14.042939814814824
8640,33,Thursday,7,14.679861111111101
8640,33,Thursday,8,15.560995370370405
8640,33,Thursday,9,15.831944444444485
8580,33,Thursday,10,17.156993006993044
8460,33,Thursday,11,16.743735224586306
8340,33,Thursday,12,17.331414868105483
8160,33,Thursday,13,16.308578431372553
8100,33,Thursday,14,18.122098765432106
7860,33,Thursday,15,16.104198473282477
7560,33,Thursday,16,18.33214285714288
7560,33,Thursday,17,18.606481481481442
7560,33,Thursday,18,17.669047619047721
7560,33,Thursday,19,17.884391534391494
7560,33,Thursday,20,15.495899470899468
7560,33,Thursday,21,15.096428571428582
7560,33,Thursday,22,13.718386243386272
7560,33,Thursday,23,11.621693121693131
9000,33,Tuesday,0,10.5975555555556
9000,33,Tuesday,1,10.559111111111159
9000,33,Tuesday,2,10.327555555555561
9000,33,Tuesday,3,10.158555555555591
9000,33,Tuesday,4,10.294777777777794
9000,33,Tuesday,5,13.151555555555589
9000,33,Tuesday,6,13.614111111111129
9000,33,Tuesday,7,14.830111111111147
9000,33,Tuesday,8,15.78955555555557
9000,33,Tuesday,9,15.357888888888864
9000,33,Tuesday,10,17.379555555555587
9000,33,Tuesday,11,16.489555555555548
9000,33,Tuesday,12,18.75888888888894
9000,33,Tuesday,13,17.229222222222216
9000,33,Tuesday,14,16.180333333333312
9000,33,Tuesday,15,15.622222222222213
9000,33,Tuesday,16,17.635999999999953
9000,33,Tuesday,17,19.208333333333414
9000,33,Tuesday,18,19.051999999999975
9000,33,Tuesday,19,18.23677777777786
9000,33,Tuesday,20,15.675444444444464
9000,33,Tuesday,21,14.912333333333335
9000,33,Tuesday,22,13.99744444444444
9000,33,Tuesday,23,12.055111111111129
8940,33,Wednesday,0,10.695078299776275
8940,33,Wednesday,1,10.408277404921691
8940,33,Wednesday,2,10.352460850111825
8940,33,Wednesday,3,10.10592841163311
8940,33,Wednesday,4,10.303803131991092
8940,33,Wednesday,5,12.023489932885923
8940,33,Wednesday,6,13.188926174496624
8940,33,Wednesday,7,14.111185682326589
8940,33,Wednesday,8,15.540268456375834
8940,33,Wednesday,9,15.998322147651004
8940,33,Wednesday,10,15.377181208053662
8940,33,Wednesday,11,16.143736017897062
8820,33,Wednesday,12,17.070068027210866
8820,33,Wednesday,13,16.276643990929717
8820,33,Wednesday,14,17.282539682539635
8820,33,Wednesday,15,15.716893424036238
8820,33,Wednesday,16,16.797619047619037
8820,33,Wednesday,17,20.905782312925211
8820,33,Wednesday,18,20.1663265306123
8820,33,Wednesday,19,18.32596371882093
8820,33,Wednesday,20,15.420748299319735
8760,33,Wednesday,21,13.604794520547994
8700,33,Wednesday,22,13.034827586206921
8700,33,Wednesday,23,11.957816091954035