hour,weekday,calories_entries,intensity_entries,steps_entries,average_cal_per_person_per_log,average_intensity_per_person_per_log,avergage_steps_per_person_per_entry
23,Friday,123,123,123,2.58,0.22,5.12
16,Friday,124,124,124,3.5,0.56,15.47
21,Friday,124,124,124,2.98,0.35,8.59
22,Friday,124,124,124,2.87,0.31,7.64
18,Friday,124,124,124,3.96,0.71,18.9
19,Friday,124,124,124,4.0,0.74,19.47
20,Friday,124,124,124,3.43,0.52,12.52
17,Friday,124,124,124,3.54,0.59,12.38
10,Friday,125,125,125,3.04,0.4,10.4
11,Friday,125,125,125,3.27,0.48,13.42
12,Friday,125,125,125,3.32,0.51,13.67
13,Friday,125,125,125,3.34,0.51,14.98
7,Friday,125,125,125,3.15,0.42,12.49
8,Friday,125,125,125,3.25,0.47,13.6
9,Friday,125,125,125,3.23,0.46,12.59
6,Friday,125,125,125,2.89,0.33,7.26
15,Friday,125,125,125,3.1,0.44,10.48
14,Friday,125,125,125,3.5,0.55,16.4
0,Friday,126,126,126,2.19,0.07,1.34
1,Friday,126,126,126,2.11,0.04,0.58
2,Friday,126,126,126,2.08,0.03,0.49
4,Friday,126,126,126,2.08,0.02,0.44
5,Friday,126,126,126,2.52,0.16,1.86
3,Friday,126,126,126,2.07,0.02,0.33
17,Monday,118,118,118,3.83,0.69,15.29
18,Monday,118,118,118,4.03,0.74,20.8
19,Monday,118,118,118,3.91,0.71,19.65
21,Monday,118,118,118,2.97,0.4,10.97
22,Monday,118,118,118,2.59,0.22,5.59
23,Monday,118,118,118,2.3,0.1,2.53
20,Monday,118,118,118,3.14,0.43,11.31
16,Monday,119,119,119,3.62,0.6,17.37
13,Monday,119,119,119,3.45,0.54,16.62
14,Monday,119,119,119,3.28,0.49,13.9
15,Monday,119,119,119,3.16,0.42,10.65
12,Monday,119,119,119,3.59,0.6,16.42
8,Monday,120,120,120,3.32,0.51,16.03
2,Monday,120,120,120,2.11,0.01,0.21
3,Monday,120,120,120,2.11,0.01,0.27
4,Monday,120,120,120,2.15,0.03,0.59
5,Monday,120,120,120,2.81,0.23,0.99
0,Monday,120,120,120,2.19,0.05,0.94
1,Monday,120,120,120,2.15,0.03,0.54
10,Monday,120,120,120,3.65,0.64,17.31
11,Monday,120,120,120,3.2,0.45,11.99
7,Monday,120,120,120,3.08,0.38,11.26
9,Monday,120,120,120,3.44,0.53,15.56
6,Monday,120,120,120,2.76,0.27,5.54
16,Sunday,120,120,120,3.28,0.47,11.36
17,Sunday,120,120,120,3.74,0.64,16.84
18,Sunday,120,120,120,3.6,0.59,15.02
23,Sunday,120,120,120,2.33,0.12,3.46
20,Sunday,120,120,120,2.98,0.37,8.04
21,Sunday,120,120,120,2.99,0.36,8.41
22,Sunday,120,120,120,2.51,0.2,5.18
19,Sunday,120,120,120,3.51,0.58,15.03
1,Sunday,121,121,121,2.28,0.07,1.65
2,Sunday,121,121,121,2.23,0.06,1.55
3,Sunday,121,121,121,2.11,0.01,0.15
4,Sunday,121,121,121,2.11,0.02,0.18
12,Sunday,121,121,121,3.5,0.55,14.15
13,Sunday,121,121,121,3.65,0.58,15.56
14,Sunday,121,121,121,3.71,0.63,18.07
15,Sunday,121,121,121,3.54,0.56,15.59
0,Sunday,121,121,121,2.37,0.12,2.58
9,Sunday,121,121,121,3.31,0.46,12.93
10,Sunday,121,121,121,3.64,0.63,18.22
11,Sunday,121,121,121,3.42,0.53,13.19
6,Sunday,121,121,121,2.27,0.09,1.96
7,Sunday,121,121,121,2.58,0.2,5.66
8,Sunday,121,121,121,3.0,0.37,10.97
5,Sunday,121,121,121,2.12,0.02,0.52
8,Tuesday,150,150,150,3.21,0.45,13.15
17,Tuesday,150,150,150,3.86,0.71,18.66
9,Tuesday,150,150,150,3.04,0.39,11.26
10,Tuesday,150,150,150,3.42,0.57,15.8
18,Tuesday,150,150,150,3.79,0.69,19.3
19,Tuesday,150,150,150,3.71,0.65,17.56
3,Tuesday,150,150,150,2.04,0.01,0.17
20,Tuesday,150,150,150,3.15,0.45,11.05
4,Tuesday,150,150,150,2.08,0.02,0.51
5,Tuesday,150,150,150,2.8,0.25,2.59
21,Tuesday,150,150,150,3.01,0.4,10.54
14,Tuesday,150,150,150,3.23,0.48,13.09
6,Tuesday,150,150,150,2.8,0.28,7.21
7,Tuesday,150,150,150,2.97,0.37,11.61
15,Tuesday,150,150,150,3.12,0.43,10.72
0,Tuesday,150,150,150,2.12,0.04,0.86
16,Tuesday,150,150,150,3.54,0.54,15.93
1,Tuesday,150,150,150,2.13,0.04,0.77
2,Tuesday,150,150,150,2.08,0.02,0.32
11,Tuesday,150,150,150,3.29,0.49,12.63
12,Tuesday,150,150,150,3.76,0.69,19.91
13,Tuesday,150,150,150,3.43,0.57,16.78
22,Tuesday,150,150,150,2.79,0.32,8.77
23,Tuesday,150,150,150,2.36,0.17,4.12
16,Saturday,121,121,121,3.46,0.54,15.83
17,Saturday,121,121,121,3.44,0.53,14.54
11,Saturday,121,121,121,3.92,0.71,19.94
12,Saturday,121,121,121,4.09,0.76,21.0
13,Saturday,121,121,121,4.56,0.92,24.37
14,Saturday,121,121,121,4.17,0.74,21.82
22,Saturday,121,121,121,2.91,0.36,9.62
23,Saturday,121,121,121,2.5,0.17,3.98
10,Saturday,121,121,121,3.67,0.61,15.48
19,Saturday,121,121,121,3.78,0.67,18.13
20,Saturday,121,121,121,3.21,0.46,12.46
21,Saturday,121,121,121,3.04,0.4,10.69
18,Saturday,121,121,121,3.63,0.6,15.33
15,Saturday,121,121,121,3.67,0.6,16.57
1,Saturday,122,122,122,2.27,0.07,0.59
2,Saturday,122,122,122,2.24,0.06,0.42
3,Saturday,122,122,122,2.13,0.02,0.3
8,Saturday,122,122,122,3.15,0.42,11.87
9,Saturday,122,122,122,3.58,0.6,15.86
5,Saturday,122,122,122,2.12,0.02,0.32
6,Saturday,122,122,122,2.28,0.09,1.94
7,Saturday,122,122,122,2.7,0.26,5.83
4,Saturday,122,122,122,2.12,0.02,0.31
0,Saturday,123,123,123,2.3,0.09,1.73
20,Thursday,126,126,126,3.11,0.43,10.96
21,Thursday,126,126,126,3.01,0.41,11.19
22,Thursday,126,126,126,2.76,0.29,8.13
23,Thursday,126,126,126,2.32,0.13,3.01
17,Thursday,126,126,126,3.71,0.67,16.74
18,Thursday,126,126,126,3.55,0.6,16.19
19,Thursday,126,126,126,3.65,0.62,17.69
16,Thursday,126,126,126,3.67,0.6,17.1
15,Thursday,132,132,132,3.24,0.48,12.19
13,Thursday,138,138,138,3.21,0.47,13.83
14,Thursday,138,138,138,3.62,0.6,17.08
12,Thursday,139,139,139,3.49,0.59,17.02
11,Thursday,141,141,141,3.32,0.51,14.11
10,Thursday,143,143,143,3.35,0.55,15.67
8,Thursday,144,144,144,3.1,0.46,12.78
9,Thursday,144,144,144,3.13,0.44,12.92
5,Thursday,144,144,144,2.56,0.18,1.64
6,Thursday,144,144,144,2.86,0.32,7.78
7,Thursday,144,144,144,2.92,0.35,10.13
4,Thursday,144,144,144,2.05,0.01,0.25
0,Thursday,145,145,145,2.14,0.05,0.95
1,Thursday,145,145,145,2.08,0.03,0.49
2,Thursday,145,145,145,2.06,0.02,0.35
3,Thursday,145,145,145,2.03,0.01,0.14
22,Wednesday,145,145,145,2.6,0.24,6.14
23,Wednesday,145,145,145,2.36,0.16,3.96
21,Wednesday,146,146,146,2.74,0.3,6.42
18,Wednesday,147,147,147,4.04,0.76,22.55
19,Wednesday,147,147,147,3.67,0.64,18.28
20,Wednesday,147,147,147,3.07,0.43,10.07
15,Wednesday,147,147,147,3.15,0.44,11.82
16,Wednesday,147,147,147,3.37,0.51,14.07
17,Wednesday,147,147,147,4.22,0.79,22.41
12,Wednesday,147,147,147,3.44,0.56,15.3
13,Wednesday,147,147,147,3.28,0.49,14.33
14,Wednesday,147,147,147,3.44,0.59,16.53
0,Wednesday,149,149,149,2.14,0.05,0.95
8,Wednesday,149,149,149,3.16,0.45,13.37
9,Wednesday,149,149,149,3.16,0.45,12.74
10,Wednesday,149,149,149,3.05,0.42,11.28
11,Wednesday,149,149,149,3.23,0.47,13.36
4,Wednesday,149,149,149,2.08,0.02,0.43
5,Wednesday,149,149,149,2.52,0.16,1.11
6,Wednesday,149,149,149,2.7,0.25,5.52
7,Wednesday,149,149,149,2.85,0.31,8.12
1,Wednesday,149,149,149,2.1,0.03,0.45
2,Wednesday,149,149,149,2.09,0.03,0.44
3,Wednesday,149,149,149,2.04,0.01,0.07