Id,weekday,TotalTimeInBed,TotalMinutesAsleep,TotalMinutesAwake,TotalSleepRecords
1503960366,Tuesday,346,327,19,1
1503960366,Friday,442,412,30,1
1503960366,Sunday,712,700,12,1
1503960366,Tuesday,320,304,16,1
1503960366,Wednesday,377,360,17,1
1503960366,Thursday,364,325,39,1
1503960366,Saturday,384,361,23,1
1503960366,Sunday,449,430,19,1
1503960366,Monday,323,277,46,1
1503960366,Tuesday,274,245,29,1
1503960366,Thursday,393,366,27,1
1503960366,Friday,354,341,13,1
1503960366,Saturday,425,404,21,1
1503960366,Sunday,396,369,27,1
1503960366,Monday,309,277,32,1
1503960366,Tuesday,296,273,23,1
1503960366,Thursday,264,247,17,1
1503960366,Friday,367,334,33,1
1503960366,Saturday,349,331,18,1
1503960366,Sunday,611,594,17,1
1503960366,Monday,342,338,4,1
1503960366,Tuesday,403,383,20,1
1503960366,Wednesday,306,285,21,1
1644430081,Friday,127,119,8,1
1644430081,Saturday,142,124,18,1
1644430081,Monday,961,796,165,1
1644430081,Sunday,154,137,17,1
1844505072,Friday,961,644,317,1
1844505072,Saturday,961,722,239,1
1844505072,Sunday,961,590,371,1
1927972279,Wednesday,422,398,24,1
1927972279,Tuesday,315,296,19,1
1927972279,Thursday,178,166,12,1
2026352035,Tuesday,546,503,43,1
2026352035,Wednesday,565,531,34,1
2026352035,Thursday,568,545,23,1
2026352035,Friday,573,523,50,1
2026352035,Saturday,567,524,43,1
2026352035,Sunday,498,437,61,1
2026352035,Tuesday,540,498,42,1
2026352035,Wednesday,510,461,49,1
2026352035,Thursday,514,477,37,1
2026352035,Friday,545,520,25,1
2026352035,Saturday,554,522,32,1
2026352035,Sunday,591,555,36,1
2026352035,Monday,531,506,25,1
2026352035,Wednesday,545,508,37,1
2026352035,Thursday,545,513,32,1
2026352035,Friday,510,490,20,1
2026352035,Saturday,607,573,34,1
2026352035,Sunday,546,527,19,1
2026352035,Monday,543,511,32,1
2026352035,Wednesday,560,538,22,1
2026352035,Thursday,485,468,17,1
2026352035,Friday,548,524,24,1
2026352035,Saturday,521,511,10,1
2026352035,Sunday,568,541,27,1
2026352035,Monday,556,531,25,1
2026352035,Tuesday,380,357,23,1
2026352035,Wednesday,553,523,30,1
2026352035,Thursday,485,456,29,1
2320127002,Saturday,69,61,8,1
2347167796,Wednesday,531,467,64,1
2347167796,Thursday,489,445,44,1
2347167796,Friday,504,452,52,1
2347167796,Sunday,602,556,46,1
2347167796,Monday,557,500,57,1
2347167796,Tuesday,514,465,49,1
2347167796,Thursday,484,460,24,1
2347167796,Friday,461,405,56,1
2347167796,Saturday,386,374,12,1
2347167796,Sunday,459,442,17,1
2347167796,Monday,471,433,38,1
2347167796,Tuesday,490,436,54,1
2347167796,Wednesday,499,448,51,1
2347167796,Thursday,450,408,42,1
2347167796,Friday,473,411,62,1
3977333714,Tuesday,469,274,195,1
3977333714,Thursday,397,291,106,1
3977333714,Friday,556,424,132,1
3977333714,Saturday,510,283,227,1
3977333714,Sunday,566,381,185,1
3977333714,Tuesday,395,219,176,1
3977333714,Thursday,512,332,180,1
3977333714,Friday,476,355,121,1
3977333714,Saturday,372,235,137,1
3977333714,Sunday,526,310,216,1
3977333714,Monday,467,262,205,1
3977333714,Tuesday,371,250,121,1
3977333714,Wednesday,540,349,191,1
3977333714,Thursday,423,261,162,1
3977333714,Friday,478,333,145,1
3977333714,Saturday,382,237,145,1
3977333714,Sunday,626,383,243,1
3977333714,Monday,384,230,154,1
3977333714,Tuesday,500,292,208,1
3977333714,Wednesday,336,213,123,1
3977333714,Thursday,480,318,162,1
3977333714,Friday,512,323,189,1
3977333714,Saturday,443,237,206,1
3977333714,Tuesday,452,312,140,1
4020332650,Tuesday,541,501,40,1
4020332650,Saturday,77,77,0,1
4020332650,Tuesday,332,322,10,1
4020332650,Wednesday,536,478,58,1
4020332650,Thursday,248,226,22,1
4020332650,Friday,408,385,23,1
4020332650,Sunday,402,364,38,1
4020332650,Tuesday,494,442,52,1
4319703577,Thursday,557,535,22,1
4319703577,Friday,491,465,26,1
4319703577,Saturday,522,506,16,1
4319703577,Monday,551,515,36,1
4319703577,Wednesday,543,523,20,1
4319703577,Thursday,65,59,6,1
4319703577,Friday,550,533,17,1
4319703577,Saturday,722,692,30,1
4319703577,Sunday,501,467,34,1
4319703577,Monday,506,488,18,1
4319703577,Tuesday,516,505,11,1
4319703577,Wednesday,307,286,21,1
4319703577,Thursday,522,497,25,1
4319703577,Friday,546,523,23,1
4319703577,Saturday,516,490,26,1
4319703577,Sunday,500,484,16,1
4319703577,Monday,506,478,28,1
4319703577,Tuesday,512,474,38,1
4319703577,Friday,491,450,41,1
4319703577,Saturday,530,507,23,1
4319703577,Sunday,638,602,36,1
4319703577,Monday,565,535,30,1
4319703577,Tuesday,517,487,30,1
4319703577,Wednesday,558,529,29,1
4319703577,Thursday,321,302,19,1
4388161847,Friday,526,499,27,1
4388161847,Monday,104,99,5,1
4388161847,Tuesday,338,329,9,1
4388161847,Wednesday,451,421,30,1
4388161847,Thursday,458,442,16,1
4388161847,Friday,85,82,3,1
4388161847,Saturday,501,478,23,1
4388161847,Tuesday,346,319,27,1
4388161847,Wednesday,500,439,61,1
4388161847,Thursday,458,428,30,1
4388161847,Sunday,597,547,50,1
4388161847,Wednesday,414,390,24,1
4388161847,Thursday,495,471,24,1
4388161847,Saturday,496,472,24,1
4388161847,Monday,65,62,3,1
4388161847,Tuesday,375,354,21,1
4388161847,Wednesday,494,469,25,1
4445114986,Thursday,492,441,51,1
4445114986,Saturday,499,462,37,1
4445114986,Sunday,107,98,9,1
4445114986,Wednesday,462,439,23,1
4445114986,Thursday,469,436,33,1
4445114986,Friday,417,388,29,1
4445114986,Monday,345,328,17,1
4445114986,Wednesday,374,332,42,1
4445114986,Thursday,442,419,23,1
4445114986,Friday,108,106,2,1
4445114986,Saturday,353,322,31,1
4445114986,Monday,542,502,40,1
4445114986,Sunday,391,361,30,1
4445114986,Monday,533,457,76,1
4445114986,Tuesday,426,405,21,1
4445114986,Wednesday,530,499,31,1
4445114986,Thursday,501,483,18,1
4558609924,Thursday,137,126,11,1
4558609924,Tuesday,121,103,18,1
4558609924,Friday,179,171,8,1
4558609924,Sunday,129,115,14,1
4558609924,Sunday,134,123,11,1
4702921684,Tuesday,439,425,14,1
4702921684,Thursday,415,384,31,1
4702921684,Friday,257,253,4,1
4702921684,Sunday,612,591,21,1
4702921684,Monday,312,293,19,1
4702921684,Tuesday,487,457,30,1
4702921684,Wednesday,468,454,14,1
4702921684,Thursday,434,425,9,1
4702921684,Saturday,475,465,10,1
4702921684,Sunday,506,480,26,1
4702921684,Monday,380,370,10,1
4702921684,Tuesday,429,421,8,1
4702921684,Wednesday,449,432,17,1
4702921684,Thursday,461,442,19,1
4702921684,Friday,447,433,14,1
4702921684,Saturday,501,479,22,1
4702921684,Tuesday,373,327,46,1
4702921684,Wednesday,434,412,22,1
4702921684,Thursday,428,414,14,1
4702921684,Friday,449,404,45,1
4702921684,Saturday,543,520,23,1
4702921684,Monday,458,435,23,1
4702921684,Tuesday,431,416,15,1
4702921684,Wednesday,366,354,12,1
4702921684,Thursday,442,404,38,1
5553957443,Tuesday,464,441,23,1
5553957443,Thursday,418,357,61,1
5553957443,Friday,409,377,32,1
5553957443,Sunday,402,350,52,1
5553957443,Tuesday,410,357,53,1
5553957443,Wednesday,678,658,20,1
5553957443,Thursday,431,399,32,1
5553957443,Friday,353,322,31,1
5553957443,Monday,468,433,35,1
5553957443,Tuesday,453,412,41,1
5553957443,Wednesday,391,347,44,1
5553957443,Thursday,457,421,36,1
5553957443,Friday,495,450,45,1
5553957443,Monday,471,409,62,1
5553957443,Tuesday,429,380,49,1
5553957443,Wednesday,470,447,23,1
5553957443,Thursday,464,419,45,1
5553957443,Friday,434,400,34,1
5553957443,Saturday,470,442,28,1
5553957443,Sunday,608,568,40,1
5553957443,Monday,494,453,41,1
5553957443,Tuesday,443,418,25,1
5553957443,Wednesday,486,463,23,1
5553957443,Thursday,475,438,37,1
5577150313,Tuesday,438,419,19,1
5577150313,Wednesday,458,432,26,1
5577150313,Thursday,497,477,20,1
5577150313,Friday,413,392,21,1
5577150313,Saturday,445,406,39,1
5577150313,Sunday,583,549,34,1
5577150313,Monday,553,527,26,1
5577150313,Tuesday,465,449,16,1
5577150313,Wednesday,480,447,33,1
5577150313,Thursday,437,414,23,1
5577150313,Friday,366,338,28,1
5577150313,Saturday,402,384,18,1
5577150313,Sunday,615,543,72,1
5577150313,Monday,461,421,40,1
5577150313,Tuesday,377,354,23,1
5577150313,Wednesday,452,424,28,1
5577150313,Thursday,372,361,11,1
5577150313,Friday,485,459,26,1
5577150313,Saturday,433,412,21,1
5577150313,Sunday,398,379,19,1
5577150313,Tuesday,543,508,35,1
5577150313,Wednesday,634,603,31,1
5577150313,Thursday,78,74,4,1
5577150313,Tuesday,562,504,58,1
5577150313,Wednesday,476,431,45,1
6117666160,Saturday,398,380,18,1
6117666160,Tuesday,492,465,27,1
6117666160,Wednesday,502,474,28,1
6117666160,Thursday,550,508,42,1
6117666160,Friday,546,480,66,1
6117666160,Saturday,539,492,47,1
6117666160,Sunday,367,353,14,1
6117666160,Wednesday,557,542,15,1
6117666160,Thursday,416,393,23,1
6117666160,Friday,636,600,36,1
6117666160,Sunday,575,507,68,1
6117666160,Thursday,415,392,23,1
6117666160,Sunday,603,555,48,1
6117666160,Monday,522,492,30,1
6775888955,Wednesday,260,235,25,1
6775888955,Thursday,441,423,18,1
6775888955,Friday,406,391,15,1
6962181067,Tuesday,387,366,21,1
6962181067,Friday,386,370,16,1
6962181067,Saturday,366,357,9,1
6962181067,Sunday,446,427,19,1
6962181067,Monday,458,442,16,1
6962181067,Tuesday,535,476,59,1
6962181067,Wednesday,424,418,6,1
6962181067,Thursday,457,451,6,1
6962181067,Friday,435,425,10,1
6962181067,Saturday,546,528,18,1
6962181067,Sunday,514,511,3,1
6962181067,Monday,415,400,15,1
6962181067,Tuesday,446,441,5,1
6962181067,Wednesday,467,455,12,1
6962181067,Thursday,453,440,13,1
6962181067,Friday,447,433,14,1
6962181067,Saturday,424,422,2,1
6962181067,Sunday,426,411,15,1
6962181067,Monday,482,466,16,1
6962181067,Tuesday,418,394,24,1
6962181067,Wednesday,455,442,13,1
6962181067,Thursday,491,467,24,1
6962181067,Friday,462,443,19,1
6962181067,Saturday,334,298,36,1
6962181067,Sunday,569,541,28,1
6962181067,Monday,497,489,8,1
6962181067,Tuesday,481,469,12,1
6962181067,Wednesday,480,452,28,1
6962181067,Thursday,535,516,19,1
7007744171,Saturday,82,79,3,1
7007744171,Sunday,61,58,3,1
7086361926,Tuesday,525,514,11,1
7086361926,Wednesday,465,451,14,1
7086361926,Thursday,476,472,4,1
7086361926,Friday,386,377,9,1
7086361926,Tuesday,483,472,11,1
7086361926,Wednesday,502,492,10,1
7086361926,Thursday,411,390,21,1
7086361926,Friday,448,428,20,1
7086361926,Sunday,704,681,23,1
7086361926,Monday,447,446,1,1
7086361926,Tuesday,500,485,15,1
7086361926,Wednesday,479,469,10,1
7086361926,Thursday,367,354,13,1
7086361926,Saturday,489,485,4,1
7086361926,Sunday,407,388,19,1
7086361926,Monday,459,440,19,1
7086361926,Tuesday,461,456,5,1
7086361926,Wednesday,436,420,16,1
7086361926,Friday,333,322,11,1
7086361926,Saturday,548,530,18,1
7086361926,Sunday,510,481,29,1
7086361926,Monday,438,427,11,1
7086361926,Wednesday,463,451,12,1
7086361926,Thursday,457,444,13,1
8053475328,Wednesday,493,486,7,1
8053475328,Saturday,337,331,6,1
8053475328,Saturday,75,74,1,1
8378563200,Tuesday,356,338,18,1
8378563200,Thursday,455,424,31,1
8378563200,Friday,533,513,20,1
8378563200,Monday,451,398,53,1
8378563200,Tuesday,421,387,34,1
8378563200,Wednesday,409,381,28,1
8378563200,Thursday,417,396,21,1
8378563200,Friday,469,441,28,1
8378563200,Saturday,591,565,26,1
8378563200,Sunday,492,458,34,1
8378563200,Monday,402,388,14,1
8378563200,Tuesday,584,550,34,1
8378563200,Wednesday,600,531,69,1
8378563200,Thursday,556,506,50,1
8378563200,Friday,562,527,35,1
8378563200,Saturday,555,468,87,1
8378563200,Sunday,539,475,64,1
8378563200,Monday,385,351,34,1
8378563200,Tuesday,429,405,24,1
8378563200,Wednesday,477,441,36,1
8378563200,Thursday,417,381,36,1
8378563200,Friday,355,323,32,1
8378563200,Sunday,606,545,61,1
8378563200,Monday,399,359,40,1
8378563200,Tuesday,391,342,49,1
8378563200,Wednesday,387,368,19,1
8378563200,Thursday,546,496,50,1
8792009665,Tuesday,493,458,35,1
8792009665,Wednesday,552,531,21,1
8792009665,Thursday,503,486,17,1
8792009665,Friday,377,363,14,1
8792009665,Wednesday,547,528,19,1
8792009665,Friday,407,391,16,1
8792009665,Saturday,360,339,21,1
8792009665,Wednesday,428,423,5,1
8792009665,Thursday,416,402,14,1
8792009665,Friday,406,398,8,1
8792009665,Saturday,360,343,17,1
8792009665,Sunday,527,503,24,1
8792009665,Monday,423,415,8,1
8792009665,Tuesday,545,516,29,1
8792009665,Wednesday,463,439,24,1
1503960366,Wednesday,407,384,23,2
1503960366,Saturday,367,340,27,2
1927972279,Friday,499,475,24,2
3977333714,Wednesday,456,295,161,2
3977333714,Monday,522,412,110,2
3977333714,Wednesday,305,152,153,2
3977333714,Sunday,456,259,197,2
4319703577,Tuesday,498,461,37,2
4388161847,Saturday,448,426,22,2
4388161847,Sunday,641,619,22,2
4388161847,Saturday,430,409,21,2
4388161847,Monday,376,368,8,2
4388161847,Sunday,541,529,12,2
4445114986,Tuesday,457,429,28,2
4445114986,Wednesday,406,370,36,2
4445114986,Friday,379,337,42,2
4445114986,Tuesday,424,388,36,2
4445114986,Tuesday,391,353,38,2
4445114986,Sunday,459,439,20,2
4445114986,Tuesday,450,417,33,2
4445114986,Wednesday,363,337,26,2
4445114986,Thursday,513,462,51,2
4445114986,Friday,402,374,28,2
4445114986,Saturday,436,401,35,2
4702921684,Wednesday,430,400,30,2
4702921684,Saturday,406,382,24,2
5553957443,Wednesday,488,455,33,2
5553957443,Saturday,686,651,35,2
5553957443,Monday,541,520,21,2
5553957443,Saturday,725,631,94,2
5553957443,Sunday,640,553,87,2
5553957443,Saturday,843,775,68,2
5553957443,Sunday,686,622,64,2
5577150313,Monday,553,525,28,2
6117666160,Sunday,350,336,14,2
6117666160,Monday,510,493,17,2
6117666160,Friday,698,658,40,2
6117666160,Saturday,507,498,9,2
6962181067,Thursday,535,508,27,2
8378563200,Wednesday,487,447,40,2
8378563200,Saturday,689,611,78,2
8378563200,Sunday,591,525,66,2
8378563200,Saturday,513,459,54,2
1927972279,Tuesday,775,750,25,3
4388161847,Sunday,595,552,43,3
6962181067,Wednesday,679,630,49,3